image_id,file_name,width,height,gt_objects,detections,matched_detections,precision,recall,f1,mean_iou_matched,mean_confidence,latency_ms,fps,decision_state
181542,000000181542.jpg,640,600,12,17,10,0.5882,0.8333,0.6897,0.8383,0.9826,8393.197,0.119,stop
122166,000000122166.jpg,640,480,6,10,4,0.4,0.6667,0.5,0.9107,0.9826,9032.759,0.111,stop
357737,000000357737.jpg,640,480,5,5,3,0.6,0.6,0.6,0.8962,0.9831,8952.45,0.112,stop
356612,000000356612.jpg,640,416,5,6,3,0.5,0.6,0.5455,0.8838,0.9806,11360.765,0.088,stop
206487,000000206487.jpg,640,480,5,5,4,0.8,0.8,0.8,0.8169,0.9895,10293.296,0.097,stop
394206,000000394206.jpg,640,480,10,7,6,0.8571,0.6,0.7059,0.8586,0.975,10065.109,0.099,stop
136715,000000136715.jpg,640,425,10,6,5,0.8333,0.5,0.625,0.8894,0.9845,10851.944,0.092,stop
424162,000000424162.jpg,640,512,8,6,5,0.8333,0.625,0.7143,0.8585,0.9849,8929.916,0.112,stop
336232,000000336232.jpg,640,427,8,14,8,0.5714,1.0,0.7273,0.8882,0.9898,9874.148,0.101,stop
177934,000000177934.jpg,640,480,8,10,7,0.7,0.875,0.7778,0.8875,0.9912,9136.033,0.109,stop
144300,000000144300.jpg,640,427,8,5,5,1.0,0.625,0.7692,0.8657,0.9776,9798.655,0.102,stop
169996,000000169996.jpg,640,480,7,8,5,0.625,0.7143,0.6667,0.8958,0.9866,10248.496,0.098,stop
135410,000000135410.jpg,480,640,7,5,4,0.8,0.5714,0.6667,0.8434,0.9807,9378.65,0.107,stop
74058,000000074058.jpg,640,427,6,8,5,0.625,0.8333,0.7143,0.7808,0.9877,9952.667,0.1,stop
414510,000000414510.jpg,480,640,5,6,4,0.6667,0.8,0.7273,0.8237,0.9915,9368.285,0.107,stop
215723,000000215723.jpg,640,480,5,3,3,1.0,0.6,0.75,0.8924,0.9945,9244.132,0.108,stop
