model,model_label,class,ap50
high_accuracy,Faster R-CNN ResNet50-FPN v2,person,0.7834
high_accuracy,Faster R-CNN ResNet50-FPN v2,bicycle,0.6763
high_accuracy,Faster R-CNN ResNet50-FPN v2,car,0.7801
high_accuracy,Faster R-CNN ResNet50-FPN v2,motorcycle,0.8218
high_accuracy,Faster R-CNN ResNet50-FPN v2,bus,0.9025
high_accuracy,Faster R-CNN ResNet50-FPN v2,truck,0.5897
high_accuracy,Faster R-CNN ResNet50-FPN v2,traffic light,0.5925
high_accuracy,Faster R-CNN ResNet50-FPN v2,stop sign,0.9306
lightweight,SSDlite320 MobileNetV3-Large,person,0.307
lightweight,SSDlite320 MobileNetV3-Large,bicycle,0.2423
lightweight,SSDlite320 MobileNetV3-Large,car,0.1947
lightweight,SSDlite320 MobileNetV3-Large,motorcycle,0.4338
lightweight,SSDlite320 MobileNetV3-Large,bus,0.625
lightweight,SSDlite320 MobileNetV3-Large,truck,0.2816
lightweight,SSDlite320 MobileNetV3-Large,traffic light,0.0768
lightweight,SSDlite320 MobileNetV3-Large,stop sign,0.6671
