file_name,error_type,category,score,size_bin,iou,model,threshold
000000157365.jpg,false_positive,car,0.7532,medium,,high_accuracy,0.7
000000157365.jpg,false_positive,traffic light,0.7452,small,,high_accuracy,0.7
000000157365.jpg,false_positive,car,0.7427,medium,,high_accuracy,0.7
000000157365.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000157365.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000157365.jpg,false_negative,traffic light,,medium,,high_accuracy,0.7
000000157365.jpg,poor_localisation,car,0.9952,medium,0.5903,high_accuracy,0.7
000000507797.jpg,false_positive,person,0.8866,small,,high_accuracy,0.7
000000507797.jpg,false_positive,car,0.8291,small,,high_accuracy,0.7
000000507797.jpg,false_positive,person,0.7317,small,,high_accuracy,0.7
000000507797.jpg,false_positive,car,0.7033,small,,high_accuracy,0.7
000000507797.jpg,false_negative,bus,,large,,high_accuracy,0.7
000000507797.jpg,false_negative,person,,small,,high_accuracy,0.7
000000507797.jpg,poor_localisation,person,0.9968,medium,0.6091,high_accuracy,0.7
000000177934.jpg,false_positive,car,0.8506,medium,,high_accuracy,0.7
000000177934.jpg,false_negative,person,,small,,high_accuracy,0.7
000000177934.jpg,false_negative,truck,,small,,high_accuracy,0.7
000000177934.jpg,poor_localisation,car,0.9244,small,0.5928,high_accuracy,0.7
000000572555.jpg,false_positive,traffic light,0.9451,medium,,high_accuracy,0.7
000000572555.jpg,false_positive,bicycle,0.7495,small,,high_accuracy,0.7
000000572555.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000572555.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000572555.jpg,false_negative,traffic light,,medium,,high_accuracy,0.7
000000135670.jpg,false_positive,bicycle,0.8431,large,,high_accuracy,0.7
000000319607.jpg,false_positive,traffic light,0.8238,small,,high_accuracy,0.7
000000319607.jpg,false_positive,person,0.7845,small,,high_accuracy,0.7
000000319607.jpg,false_positive,traffic light,0.7019,small,,high_accuracy,0.7
000000319607.jpg,false_negative,person,,medium,,high_accuracy,0.7
000000319607.jpg,false_negative,person,,small,,high_accuracy,0.7
000000319607.jpg,false_negative,car,,medium,,high_accuracy,0.7
000000319607.jpg,false_negative,bus,,medium,,high_accuracy,0.7
000000122166.jpg,false_positive,bicycle,0.9674,large,,high_accuracy,0.7
000000122166.jpg,false_positive,car,0.9474,small,,high_accuracy,0.7
000000122166.jpg,false_positive,person,0.9409,small,,high_accuracy,0.7
000000122166.jpg,false_positive,car,0.8006,small,,high_accuracy,0.7
000000122166.jpg,false_negative,bicycle,,medium,,high_accuracy,0.7
000000122166.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000122166.jpg,false_negative,person,,small,,high_accuracy,0.7
000000122166.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000122166.jpg,poor_localisation,traffic light,0.8634,small,0.6311,high_accuracy,0.7
000000122166.jpg,poor_localisation,person,0.8393,small,0.5466,high_accuracy,0.7
000000122166.jpg,poor_localisation,traffic light,0.8036,small,0.5169,high_accuracy,0.7
000000200667.jpg,false_positive,truck,0.9288,large,,high_accuracy,0.7
000000115946.jpg,false_positive,traffic light,0.9766,medium,,high_accuracy,0.7
000000115946.jpg,false_positive,traffic light,0.9725,medium,,high_accuracy,0.7
000000115946.jpg,false_positive,traffic light,0.9272,medium,,high_accuracy,0.7
000000115946.jpg,false_positive,traffic light,0.7313,small,,high_accuracy,0.7
000000115946.jpg,false_negative,person,,small,,high_accuracy,0.7
000000115946.jpg,false_negative,car,,small,,high_accuracy,0.7
000000115946.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000219271.jpg,false_positive,person,0.9792,small,,high_accuracy,0.7
000000219271.jpg,false_positive,person,0.9765,medium,,high_accuracy,0.7
000000219271.jpg,false_positive,truck,0.9697,large,,high_accuracy,0.7
000000219271.jpg,false_positive,person,0.9411,medium,,high_accuracy,0.7
000000219271.jpg,false_negative,truck,,large,,high_accuracy,0.7
000000219271.jpg,false_negative,person,,small,,high_accuracy,0.7
000000219271.jpg,false_negative,person,,small,,high_accuracy,0.7
000000219271.jpg,false_negative,person,,small,,high_accuracy,0.7
000000219271.jpg,poor_localisation,person,0.7329,small,0.5892,high_accuracy,0.7
000000125778.jpg,false_negative,car,,medium,,high_accuracy,0.7
000000008211.jpg,false_positive,motorcycle,0.9963,large,,high_accuracy,0.7
000000008211.jpg,false_positive,motorcycle,0.9425,large,,high_accuracy,0.7
000000008211.jpg,false_negative,bicycle,,medium,,high_accuracy,0.7
000000476704.jpg,false_positive,traffic light,0.9568,small,,high_accuracy,0.7
000000476704.jpg,false_positive,traffic light,0.7219,small,,high_accuracy,0.7
000000476704.jpg,false_positive,car,0.7047,small,,high_accuracy,0.7
000000476704.jpg,false_negative,car,,small,,high_accuracy,0.7
000000333745.jpg,false_positive,person,0.9916,large,,high_accuracy,0.7
000000333745.jpg,false_positive,car,0.81,large,,high_accuracy,0.7
000000333745.jpg,false_positive,person,0.744,medium,,high_accuracy,0.7
000000509451.jpg,false_positive,person,0.997,large,,high_accuracy,0.7
000000509451.jpg,false_positive,person,0.9945,large,,high_accuracy,0.7
000000509451.jpg,false_positive,person,0.9888,medium,,high_accuracy,0.7
000000509451.jpg,false_positive,person,0.7297,large,,high_accuracy,0.7
000000509451.jpg,false_negative,person,,large,,high_accuracy,0.7
000000283038.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000100723.jpg,false_positive,person,0.992,large,,high_accuracy,0.7
000000100723.jpg,false_positive,person,0.9455,large,,high_accuracy,0.7
000000100723.jpg,false_positive,person,0.9283,large,,high_accuracy,0.7
000000100723.jpg,false_positive,car,0.9024,small,,high_accuracy,0.7
000000100723.jpg,false_negative,person,,medium,,high_accuracy,0.7
000000100723.jpg,false_negative,person,,small,,high_accuracy,0.7
000000100723.jpg,false_negative,person,,medium,,high_accuracy,0.7
000000100723.jpg,false_negative,person,,small,,high_accuracy,0.7
000000100723.jpg,poor_localisation,person,0.7669,medium,0.613,high_accuracy,0.7
000000033759.jpg,false_negative,car,,medium,,high_accuracy,0.7
000000033759.jpg,false_negative,truck,,large,,high_accuracy,0.7
000000508370.jpg,false_positive,person,0.9848,medium,,high_accuracy,0.7
000000508370.jpg,poor_localisation,person,0.9983,large,0.6219,high_accuracy,0.7
000000221754.jpg,false_positive,car,0.9309,medium,,high_accuracy,0.7
000000221754.jpg,false_positive,traffic light,0.7916,medium,,high_accuracy,0.7
000000221754.jpg,false_positive,traffic light,0.7318,small,,high_accuracy,0.7
000000221754.jpg,false_negative,car,,small,,high_accuracy,0.7
000000221754.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000221754.jpg,false_negative,person,,small,,high_accuracy,0.7
000000221754.jpg,false_negative,truck,,medium,,high_accuracy,0.7
000000221754.jpg,poor_localisation,person,0.9877,small,0.5223,high_accuracy,0.7
000000221754.jpg,poor_localisation,person,0.7531,small,0.6474,high_accuracy,0.7
000000028993.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000028993.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000028993.jpg,false_negative,traffic light,,small,,high_accuracy,0.7
000000028993.jpg,false_negative,person,,small,,high_accuracy,0.7
000000333697.jpg,false_positive,stop sign,0.9817,large,,high_accuracy,0.7
000000333697.jpg,false_negative,stop sign,,medium,,high_accuracy,0.7
000000291791.jpg,false_positive,person,0.7148,medium,,high_accuracy,0.7
000000000724.jpg,false_positive,truck,0.9695,medium,,high_accuracy,0.7
000000000724.jpg,false_negative,truck,,small,,high_accuracy,0.7
000000000724.jpg,false_negative,car,,small,,high_accuracy,0.7
000000463522.jpg,false_positive,person,0.8984,small,,high_accuracy,0.7
000000463522.jpg,false_positive,motorcycle,0.8078,small,,high_accuracy,0.7
000000463522.jpg,false_positive,person,0.7941,small,,high_accuracy,0.7
000000463522.jpg,false_positive,person,0.7926,small,,high_accuracy,0.7
000000463522.jpg,false_negative,person,,small,,high_accuracy,0.7
000000463522.jpg,false_negative,person,,small,,high_accuracy,0.7
000000463522.jpg,false_negative,person,,small,,high_accuracy,0.7
000000463522.jpg,false_negative,bicycle,,small,,high_accuracy,0.7
000000463522.jpg,poor_localisation,person,0.8197,small,0.5384,high_accuracy,0.7
000000463522.jpg,poor_localisation,person,0.7823,small,0.586,high_accuracy,0.7
000000121497.jpg,false_positive,person,0.8751,large,,high_accuracy,0.7
000000121497.jpg,false_positive,person,0.7609,small,,high_accuracy,0.7
000000121497.jpg,false_negative,person,,medium,,high_accuracy,0.7
000000121497.jpg,false_negative,person,,medium,,high_accuracy,0.7
000000121497.jpg,poor_localisation,person,0.9817,large,0.5946,high_accuracy,0.7
000000441586.jpg,false_positive,truck,0.9177,medium,,high_accuracy,0.7
000000441586.jpg,false_positive,person,0.873,small,,high_accuracy,0.7
000000441586.jpg,false_positive,person,0.7993,small,,high_accuracy,0.7
000000441586.jpg,false_positive,truck,0.7902,medium,,high_accuracy,0.7
000000441586.jpg,false_negative,motorcycle,,large,,high_accuracy,0.7
000000441586.jpg,false_negative,person,,small,,high_accuracy,0.7
000000441586.jpg,poor_localisation,bicycle,0.9157,medium,0.6466,high_accuracy,0.7
000000032334.jpg,false_negative,car,,medium,,high_accuracy,0.7
000000032334.jpg,poor_localisation,person,0.9943,small,0.6222,high_accuracy,0.7
000000146667.jpg,false_positive,person,0.8931,medium,,high_accuracy,0.7
000000146667.jpg,false_positive,person,0.746,medium,,high_accuracy,0.7
