model,model_label,threshold,is_best,class,gt,pred,matched,precision,recall,f1,mean_iou
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,person,669,915,548,0.5989,0.8191,0.6919,0.8266
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,bicycle,71,85,48,0.5647,0.6761,0.6154,0.777
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,car,296,406,248,0.6108,0.8378,0.7066,0.8393
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,motorcycle,84,115,72,0.6261,0.8571,0.7236,0.8116
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,bus,57,57,49,0.8596,0.8596,0.8596,0.9012
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,truck,81,72,42,0.5833,0.5185,0.549,0.8554
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,traffic light,124,159,88,0.5535,0.7097,0.6219,0.7614
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.5,no,stop sign,28,31,26,0.8387,0.9286,0.8814,0.9362
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,person,669,816,538,0.6593,0.8042,0.7246,0.828
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,bicycle,71,74,46,0.6216,0.6479,0.6345,0.777
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,car,296,363,236,0.6501,0.7973,0.7162,0.8451
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,motorcycle,84,101,70,0.6931,0.8333,0.7568,0.8158
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,bus,57,52,48,0.9231,0.8421,0.8807,0.9001
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,truck,81,60,39,0.65,0.4815,0.5532,0.861
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,traffic light,124,143,83,0.5804,0.6694,0.6217,0.7669
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.6,no,stop sign,28,30,26,0.8667,0.9286,0.8966,0.9362
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7,yes,person,669,718,517,0.7201,0.7728,0.7455,0.8328
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7,yes,bicycle,71,60,43,0.7167,0.6056,0.6565,0.7838
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7,yes,car,296,310,220,0.7097,0.7432,0.7261,0.8476
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7,yes,motorcycle,84,92,66,0.7174,0.7857,0.75,0.8191
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7,yes,bus,57,51,48,0.9412,0.8421,0.8889,0.9001
