model,condition,image_id,file_name,latency_ms,fps,prediction_count_min_score
high_accuracy,original,224051,000000224051.jpg,5842.858,0.1711,4
high_accuracy,original,157365,000000157365.jpg,4776.555,0.2094,19
high_accuracy,original,507797,000000507797.jpg,4779.327,0.2092,45
high_accuracy,original,177934,000000177934.jpg,4438.453,0.2253,55
high_accuracy,original,572555,000000572555.jpg,4858.78,0.2058,32
high_accuracy,original,135670,000000135670.jpg,4349.52,0.2299,4
high_accuracy,original,319607,000000319607.jpg,3658.896,0.2733,65
high_accuracy,original,122166,000000122166.jpg,4494.599,0.2225,77
high_accuracy,original,200667,000000200667.jpg,4763.085,0.2099,3
high_accuracy,original,115946,000000115946.jpg,4574.142,0.2186,38
high_accuracy,original,237928,000000237928.jpg,4775.28,0.2094,0
high_accuracy,original,219271,000000219271.jpg,4720.185,0.2119,84
high_accuracy,original,327780,000000327780.jpg,5200.998,0.1923,0
high_accuracy,original,308793,000000308793.jpg,4409.305,0.2268,4
high_accuracy,original,125778,000000125778.jpg,4446.014,0.2249,2
high_accuracy,original,8211,000000008211.jpg,4569.961,0.2188,12
high_accuracy,original,476704,000000476704.jpg,4691.161,0.2132,35
high_accuracy,original,333745,000000333745.jpg,4720.903,0.2118,25
high_accuracy,original,197658,000000197658.jpg,3848.023,0.2599,1
high_accuracy,original,509451,000000509451.jpg,4591.253,0.2178,15
high_accuracy,original,283038,000000283038.jpg,5462.417,0.1831,24
high_accuracy,original,445658,000000445658.jpg,4963.005,0.2015,0
high_accuracy,original,100723,000000100723.jpg,4973.31,0.2011,77
high_accuracy,original,520301,000000520301.jpg,4552.859,0.2196,2
high_accuracy,original,33759,000000033759.jpg,4836.76,0.2067,3
high_accuracy,original,508370,000000508370.jpg,4838.961,0.2067,19
high_accuracy,original,221754,000000221754.jpg,5301.974,0.1886,45
high_accuracy,original,105249,000000105249.jpg,5201.746,0.1922,0
high_accuracy,original,28993,000000028993.jpg,4309.031,0.2321,29
high_accuracy,original,333697,000000333697.jpg,4980.102,0.2008,4
high_accuracy,original,562561,000000562561.jpg,4618.151,0.2165,3
high_accuracy,original,291791,000000291791.jpg,4453.756,0.2245,18
high_accuracy,original,724,000000000724.jpg,4683.233,0.2135,17
high_accuracy,original,463522,000000463522.jpg,4774.246,0.2095,56
high_accuracy,original,192716,000000192716.jpg,4423.185,0.2261,11
high_accuracy,original,132116,000000132116.jpg,4208.049,0.2376,0
high_accuracy,original,223789,000000223789.jpg,5402.203,0.1851,0
high_accuracy,original,121497,000000121497.jpg,4720.51,0.2118,20
high_accuracy,original,98261,000000098261.jpg,5644.565,0.1772,1
high_accuracy,original,441586,000000441586.jpg,4966.237,0.2014,45
high_accuracy,original,129812,000000129812.jpg,4986.205,0.2006,11
high_accuracy,original,32334,000000032334.jpg,4621.97,0.2164,9
high_accuracy,original,146667,000000146667.jpg,4375.737,0.2285,63
high_accuracy,original,124277,000000124277.jpg,4920.469,0.2032,31
high_accuracy,original,11122,000000011122.jpg,4739.5,0.211,6
high_accuracy,original,222094,000000222094.jpg,4614.058,0.2167,51
high_accuracy,original,456394,000000456394.jpg,4243.362,0.2357,28
high_accuracy,original,74058,000000074058.jpg,4980.292,0.2008,44
high_accuracy,original,210273,000000210273.jpg,4897.112,0.2042,98
high_accuracy,original,94751,000000094751.jpg,4723.589,0.2117,50
high_accuracy,original,181816,000000181816.jpg,5176.659,0.1932,17
high_accuracy,original,509008,000000509008.jpg,5022.647,0.1991,24
high_accuracy,original,249219,000000249219.jpg,4654.029,0.2149,20
high_accuracy,original,179265,000000179265.jpg,4910.778,0.2036,11
high_accuracy,original,158548,000000158548.jpg,5160.971,0.1938,69
high_accuracy,original,32941,000000032941.jpg,4853.415,0.206,29
high_accuracy,original,309391,000000309391.jpg,6330.794,0.158,81
high_accuracy,original,146498,000000146498.jpg,4642.717,0.2154,26
high_accuracy,original,352582,000000352582.jpg,5047.065,0.1981,4
high_accuracy,original,563653,000000563653.jpg,5075.888,0.197,49
high_accuracy,original,418696,000000418696.jpg,5486.557,0.1823,31
high_accuracy,original,253835,000000253835.jpg,4678.06,0.2138,29
high_accuracy,original,203317,000000203317.jpg,4382.549,0.2282,1
high_accuracy,original,308631,000000308631.jpg,4880.444,0.2049,51
high_accuracy,original,284698,000000284698.jpg,4385.224,0.228,11
high_accuracy,original,521405,000000521405.jpg,4697.524,0.2129,0
high_accuracy,original,191013,000000191013.jpg,4543.53,0.2201,26
high_accuracy,original,278848,000000278848.jpg,4535.791,0.2205,34
high_accuracy,original,338905,000000338905.jpg,4582.626,0.2182,33
high_accuracy,original,59635,000000059635.jpg,4798.584,0.2084,78
high_accuracy,original,426166,000000426166.jpg,4735.555,0.2112,4
high_accuracy,original,39484,000000039484.jpg,4877.174,0.205,69
high_accuracy,original,297343,000000297343.jpg,4884.737,0.2047,2
high_accuracy,original,405970,000000405970.jpg,4938.696,0.2025,2
high_accuracy,original,105912,000000105912.jpg,4821.694,0.2074,40
high_accuracy,original,69213,000000069213.jpg,4909.238,0.2037,24
high_accuracy,original,304396,000000304396.jpg,4892.516,0.2044,1
high_accuracy,original,187585,000000187585.jpg,4701.25,0.2127,3
high_accuracy,original,315187,000000315187.jpg,4674.747,0.2139,25
high_accuracy,original,142585,000000142585.jpg,4801.127,0.2083,41
high_accuracy,original,194724,000000194724.jpg,4718.193,0.2119,3
high_accuracy,original,213593,000000213593.jpg,5386.254,0.1857,56
high_accuracy,original,19109,000000019109.jpg,4884.339,0.2047,63
high_accuracy,original,362682,000000362682.jpg,5330.599,0.1876,14
high_accuracy,original,81394,000000081394.jpg,5149.903,0.1942,27
high_accuracy,original,99114,000000099114.jpg,4730.473,0.2114,46
high_accuracy,original,165039,000000165039.jpg,4793.513,0.2086,58
high_accuracy,original,137727,000000137727.jpg,5571.855,0.1795,12
high_accuracy,original,279278,000000279278.jpg,4583.204,0.2182,80
high_accuracy,original,338625,000000338625.jpg,4357.402,0.2295,47
high_accuracy,original,144300,000000144300.jpg,4667.497,0.2142,22
high_accuracy,original,509258,000000509258.jpg,4673.031,0.214,2
high_accuracy,original,397327,000000397327.jpg,4412.291,0.2266,0
high_accuracy,original,212072,000000212072.jpg,4299.911,0.2326,6
high_accuracy,original,373353,000000373353.jpg,4667.681,0.2142,77
high_accuracy,original,365745,000000365745.jpg,4381.579,0.2282,33
high_accuracy,original,498709,000000498709.jpg,6054.206,0.1652,18
high_accuracy,original,133819,000000133819.jpg,5119.891,0.1953,49
high_accuracy,original,555597,000000555597.jpg,4292.687,0.233,83
high_accuracy,original,100582,000000100582.jpg,4828.117,0.2071,1
high_accuracy,original,461405,000000461405.jpg,4694.929,0.213,0
high_accuracy,original,274272,000000274272.jpg,4358.337,0.2294,34
high_accuracy,original,231088,000000231088.jpg,5617.757,0.178,0
high_accuracy,original,256192,000000256192.jpg,4506.461,0.2219,83
high_accuracy,original,399205,000000399205.jpg,4538.497,0.2203,50
