model,condition,image_id,file_name,latency_ms,fps,prediction_count_min_score
lightweight,original,224051,000000224051.jpg,171.098,5.8446,10
lightweight,original,157365,000000157365.jpg,154.504,6.4723,44
lightweight,original,507797,000000507797.jpg,217.784,4.5917,141
lightweight,original,177934,000000177934.jpg,200.111,4.9972,277
lightweight,original,572555,000000572555.jpg,93.389,10.7079,5
lightweight,original,135670,000000135670.jpg,102.081,9.7962,15
lightweight,original,319607,000000319607.jpg,164.109,6.0935,300
lightweight,original,122166,000000122166.jpg,99.721,10.028,123
lightweight,original,200667,000000200667.jpg,106.006,9.4334,2
lightweight,original,115946,000000115946.jpg,126.046,7.9336,289
lightweight,original,237928,000000237928.jpg,101.148,9.8865,0
lightweight,original,219271,000000219271.jpg,113.217,8.8326,190
lightweight,original,327780,000000327780.jpg,80.091,12.4858,0
lightweight,original,308793,000000308793.jpg,89.485,11.175,7
lightweight,original,125778,000000125778.jpg,105.151,9.5102,0
lightweight,original,8211,000000008211.jpg,104.05,9.6108,41
lightweight,original,476704,000000476704.jpg,104.148,9.6018,163
lightweight,original,333745,000000333745.jpg,93.315,10.7164,50
lightweight,original,197658,000000197658.jpg,86.992,11.4953,2
lightweight,original,509451,000000509451.jpg,99.21,10.0796,47
lightweight,original,283038,000000283038.jpg,84.063,11.8958,9
lightweight,original,445658,000000445658.jpg,116.012,8.6198,0
lightweight,original,100723,000000100723.jpg,106.718,9.3705,37
lightweight,original,520301,000000520301.jpg,84.638,11.8151,3
lightweight,original,33759,000000033759.jpg,103.679,9.6452,113
lightweight,original,508370,000000508370.jpg,106.733,9.3691,71
lightweight,original,221754,000000221754.jpg,121.819,8.2089,298
lightweight,original,105249,000000105249.jpg,84.325,11.8589,0
lightweight,original,28993,000000028993.jpg,203.761,4.9077,79
lightweight,original,333697,000000333697.jpg,120.719,8.2837,139
lightweight,original,562561,000000562561.jpg,102.513,9.7549,1
lightweight,original,291791,000000291791.jpg,97.149,10.2934,57
lightweight,original,724,000000000724.jpg,78.675,12.7106,2
lightweight,original,463522,000000463522.jpg,106.436,9.3953,216
lightweight,original,192716,000000192716.jpg,79.833,12.5262,5
lightweight,original,132116,000000132116.jpg,83.244,12.0128,0
lightweight,original,223789,000000223789.jpg,103.163,9.6934,34
lightweight,original,121497,000000121497.jpg,112.587,8.882,61
lightweight,original,98261,000000098261.jpg,75.01,13.3316,0
lightweight,original,441586,000000441586.jpg,137.913,7.2509,175
lightweight,original,129812,000000129812.jpg,98.14,10.1896,3
lightweight,original,32334,000000032334.jpg,104.398,9.5788,66
lightweight,original,146667,000000146667.jpg,103.138,9.6958,144
lightweight,original,124277,000000124277.jpg,91.084,10.9789,38
